id,Found?,old ID,pieces,name,series,artist,imageUrl,boxImageUrl,autoUrl,autoUrl1,autoUrl2
12000018,Yes,,1000,Paris,Beautiful Skylines,,https://ravensburger.cloud/images/produktseiten/820x600/12000018_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000018.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000018_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000018_2.webp
12000019,Yes,,1000,The Charity Shop,Best of British,,https://ravensburger.cloud/images/produktseiten/820x600/12000019_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000019.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000019_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000019_2.webp
12000020,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000020.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000020_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000020_2.webp
12000021,Yes,,1000,The Weaver's Workshop,,,https://ravensburger.cloud/images/produktseiten/820x600/12000021_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000021.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000021_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000021_2.webp
12000022,Yes,,500,The Music Room,,,https://ravensburger.cloud/images/produktseiten/820x600/12000022_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000022.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000022_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000022_2.webp
12000023,Yes,,1000,Kandinsky - Yellow Red Blue,Art Collection,,https://m.media-amazon.com/images/I/91a+Yta+7uL.jpg,https://www.kinderland-bestensee.de/storage/images/image?remote=https%3A%2F%2Fwww.kinderland-bestensee.de%2FWebRoot%2FStore31%2FShops%2F87365243%2F5D91%2FD801%2FDEAD%2FC097%2FA976%2F0A0C%2F6D0B%2F83A5%2F14848.jpg,https://ravensburger.cloud/images/produktseiten/820x600/12000023.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000023_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000023_2.webp
12000024,Yes,,2x500,North Yorkshire,Cosy Cottages,,https://ravensburger.cloud/images/produktseiten/820x600/12000024_1.webp; https://ravensburger.cloud/images/produktseiten/820x600/12000024_2.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000024_3.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000024.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000024_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000024_2.webp
12000025,Yes,,1000,Mediterranean France,Mediterranean Places,,https://ravensburger.cloud/images/produktseiten/820x600/12000025_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000025.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000025_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000025_2.webp
12000026,Yes,,1000,Mediterranean Italy,Mediterranean Places,,https://ravensburger.cloud/images/produktseiten/820x600/12000026_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000026.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000026_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000026_2.webp
12000027,Yes,,1000,Mediterranean Spain,Mediterranean Places,,https://ravensburger.cloud/images/produktseiten/820x600/12000027_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000027.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000027_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000027_2.webp
12000028,Yes,,1000,Mediterranean Malta,Mediterranean Places,,https://ravensburger.cloud/images/produktseiten/820x600/12000028_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000028.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000028_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000028_2.webp
12000029,Yes,,1000,Mediterranean Croatia,Mediterranean Places,,https://ravensburger.cloud/images/produktseiten/820x600/12000029_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000029.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000029_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000029_2.webp
12000030,Yes,,1000,Mediterranean Greece,Mediterranean Places,,https://ravensburger.cloud/images/produktseiten/820x600/12000030_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000030.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000030_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000030_2.webp
